Constituent Number,Constituent Type,Group ID,Group Name Lookup,Company(Y|N)
13332,1,55385,Camp Ability Luncheon,0
13332,1,15127,Friendraiser Banquet,0
13332,1,15124,Golf Classic,0
13332,1,95565,Wants Concert Info,0
13332,1,95562,Wants Event Info,0
13332,1,95567,Wants Event Sponsorship Info,0
13332,1,95564,Wants Race Info,0
13571,2,15124,Golf Classic,1
13571,2,55385,Camp Ability Luncheon,1
13722,1,25282,Impact Athlete,0
13921,2,55385,Camp Ability Luncheon,1
14096,1,55410,Impact SK Race 2017,0
14147,2,55385,Camp Ability Luncheon,1
14298,2,55385,Camp Ability Luncheon,1
14475,1,15024,Accepts Email Contact,0
14475,1,15026,Accepts Postal Contact,0
14475,1,65461,Cornelius Christmas,0
14475,1,95562,Wants Event Info,0
14475,1,95564,Wants Race Info,0
14547,1,55385,Camp Ability Luncheon,0
14548,1,55385,Camp Ability Luncheon,0
14549,2,55385,Camp Ability Luncheon,1
14647,2,55385,Camp Ability Luncheon,1
14647,2,65461,Cornelius Christmas,1
14648,1,15024,Accepts Email Contact,0
14648,1,15025,Accepts Phone Contact,0
14648,1,95561,Accepts Text Message,0
14648,1,95562,Wants Event Info,0
14648,1,95564,Wants Race Info,0
14648,1,95565,Wants Concert Info,0
14648,1,15124,Golf Classic,0
14648,1,15127,Friendraiser Banquet,0
14772,1,55385,Camp Ability Luncheon,0
14822,1,55410,Impact SK Race 2017,0
14828,1,55410,Impact SK Race 2017,0
14830,1,55410,Impact SK Race 2017,0
14847,2,55385,Camp Ability Luncheon,1
14897,1,55410,Impact SK Race 2017,0
14906,1,55410,Impact SK Race 2017,0
14907,1,15024,Accepts Email Contact,0
14907,1,15025,Accepts Phone Contact,0
14907,1,95561,Accepts Text Message,0
14907,1,55410,Impact SK Race 2017,0
14907,1,95565,Wants Concert Info,0
14907,1,95562,Wants Event Info,0
14907,1,95564,Wants Race Info,0
14908,1,55410,Impact SK Race 2017,0
14912,1,55410,Impact SK Race 2017,0
14915,1,55410,Impact SK Race 2017,0
14920,1,55410,Impact SK Race 2017,0
14922,1,55410,Impact SK Race 2017,0
14924,1,55410,Impact SK Race 2017,0
14928,1,55410,Impact SK Race 2017,0
14929,1,55410,Impact SK Race 2017,0
14930,1,55410,Impact SK Race 2017,0
14931,1,55410,Impact SK Race 2017,0
14937,1,55410,Impact SK Race 2017,0
14938,1,55410,Impact SK Race 2017,0
14941,1,55410,Impact SK Race 2017,0
14942,1,55410,Impact SK Race 2017,0
15003,2,55385,Camp Ability Luncheon,1
15104,2,55385,Camp Ability Luncheon,1
15104,2,65461,Cornelius Christmas,1
15231,1,55385,Camp Ability Luncheon,0
15231,1,65461,Cornelius Christmas,0
15231,1,75461,Year-End Tax Letter,0
15358,2,55385,Camp Ability Luncheon,1
15404,2,55385,Camp Ability Luncheon,1
15404,2,65461,Cornelius Christmas,1
15404,2,15124,Golf Classic,1
15505,2,55385,Camp Ability Luncheon,1
15505,2,65461,Cornelius Christmas,1
15638,1,15024,Accepts Email Contact,0
15638,1,95561,Accepts Text Message,0
15638,1,95562,Wants Event Info,0
15638,1,95563,Wants Magazine Mailing,0
15638,1,95564,Wants Race Info,0
15638,1,15124,Golf Classic,0
15638,1,15127,Friendraiser Banquet,0
15638,1,95565,Wants Concert Info,0
15638,1,95566,Wants Endowment info,0
15638,1,65461,Cornelius Christmas,0
15778,1,25282,Impact Athlete,0
15779,1,25282,Impact Athlete,0
15780,1,25282,Impact Athlete,0
15781,1,25282,Impact Athlete,0
15803,1,15124,Golf Classic,0
15804,2,55385,Camp Ability Luncheon,1
15917,2,55385,Camp Ability Luncheon,1
15997,2,55385,Camp Ability Luncheon,1
16082,2,15124,Golf Classic,1
16082,2,55385,Camp Ability Luncheon,1
16185,2,55385,Camp Ability Luncheon,1
16188,1,15124,Golf Classic,0
16332,1,15024,Accepts Email Contact,0
16332,1,15025,Accepts Phone Contact,0
16332,1,95561,Accepts Text Message,0
16332,1,15127,Friendraiser Banquet,0
16332,1,95562,Wants Event Info,0
16332,1,95564,Wants Race Info,0
16410,2,55385,Camp Ability Luncheon,1
16410,2,65461,Cornelius Christmas,1
16414,2,55385,Camp Ability Luncheon,1
16414,2,25282,Impact Athlete,1
16415,2,55385,Camp Ability Luncheon,1
16415,2,25282,Impact Athlete,1
16417,2,55385,Camp Ability Luncheon,1
16417,2,25282,Impact Athlete,1
16418,2,55385,Camp Ability Luncheon,1
16418,2,25282,Impact Athlete,1
16419,2,25282,Impact Athlete,1
16419,2,55385,Camp Ability Luncheon,1
16420,2,55385,Camp Ability Luncheon,1
16420,2,25282,Impact Athlete,1
16535,1,15124,Golf Classic,0
16560,1,15124,Golf Classic,0
16585,1,15124,Golf Classic,0
16610,1,15124,Golf Classic,0
16612,1,85461,Gospel Singing Event,0
16613,1,85461,Gospel Singing Event,0
16614,1,85461,Gospel Singing Event,0
16615,1,85461,Gospel Singing Event,0
16616,1,85461,Gospel Singing Event,0
16637,1,85461,Gospel Singing Event,0
16638,1,85461,Gospel Singing Event,0
16639,1,15124,Golf Classic,0
16640,1,15124,Golf Classic,0
16641,1,15124,Golf Classic,0
18015,1,15129,Impact Other,0
18115,1,15024,Accepts Email Contact,0
18115,1,15026,Accepts Postal Contact,0
18115,1,15124,Golf Classic,0
18115,1,95567,Wants Event Sponsorship Info,0
18116,1,15024,Accepts Email Contact,0
18116,1,15124,Golf Classic,0
18515,1,15024,Accepts Email Contact,0
18515,1,55385,Camp Ability Luncheon,0
18515,1,95562,Wants Event Info,0
18515,1,95565,Wants Concert Info,0
18515,1,95564,Wants Race Info,0
18515,1,15127,Friendraiser Banquet,0
18515,1,15124,Golf Classic,0
18515,1,95567,Wants Event Sponsorship Info,0
18590,1,15024,Accepts Email Contact,0
18590,1,15025,Accepts Phone Contact,0
18590,1,15026,Accepts Postal Contact,0
18590,1,95561,Accepts Text Message,0
18590,1,95562,Wants Event Info,0
18590,1,95564,Wants Race Info,0
18590,1,95563,Wants Magazine Mailing,0
18590,1,95565,Wants Concert Info,0
18590,1,95566,Wants Endowment info,0
18590,1,65461,Cornelius Christmas,0
18590,1,15127,Friendraiser Banquet,0
18590,1,15124,Golf Classic,0
18591,1,15124,Golf Classic,0
18591,1,25281,Golf Committee,0
18866,1,15024,Accepts Email Contact,0
18866,1,15025,Accepts Phone Contact,0
18866,1,25278,One Change/Monthly Giving,0
18866,1,75461,Year-End Tax Letter,0
21743,1,155671,Endowment Supporters,0
21754,1,155671,Endowment Supporters,0
21754,1,15124,Golf Classic,0
23435,2,55385,Camp Ability Luncheon,1
23435,2,65461,Cornelius Christmas,1
24435,1,15124,Golf Classic,0
24436,1,15124,Golf Classic,0
24438,1,15124,Golf Classic,0
24439,1,15124,Golf Classic,0
24440,1,15124,Golf Classic,0
24441,1,15124,Golf Classic,0
27821,2,15124,Golf Classic,1
28016,1,195752,Sunrise Session,0
28141,2,65461,Cornelius Christmas,1
28204,2,65461,Cornelius Christmas,1
28204,2,55385,Camp Ability Luncheon,1
28864,1,195752,Sunrise Session,0
28937,1,195752,Sunrise Session,0
28938,1,195752,Sunrise Session,0
28939,1,195752,Sunrise Session,0
28940,1,195752,Sunrise Session,0
28941,1,15124,Golf Classic,0
28942,1,15124,Golf Classic,0
28944,1,15124,Golf Classic,0
