Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
1493,Employee,1,11275,0
1493,Spouse,1,6080,0
1493,Owner,1,1493,1
1493,Owned Organization,1,1493,1
17840,Spouse,0,18215,0
18215,Spouse,0,17840,0
7436,Employee,1,7437,0
1419,Employee,1,2025,0
1419,Employee,1,2477,0
1419,Employee,1,805,0
1419,Employee,1,4220,0
13496,Matching Gift Employer,1,18290,0
4224,Employee,1,3437,0
7495,Employee,1,2476,0
7495,Owner,1,2476,0
5846,Employee,1,99,0
7644,Spouse,0,7645,0
7645,Spouse,0,7644,0
11235,Spouse,0,16961,0
11235,Owned Organization,0,25165,1
16961,Spouse,0,11235,0
