,Donation ID,Constituent Number,Received Date,Donation Amount,Thank You Letter ID,Thank You Letter,Fund Name,Campaign Name,Co-Donor Exists,DonationSize_onehundred,Recurring Donor
2605,3622,172,2/12/2016 0:00,1500,,,Golf Classic,2016 Golf Classic,0,1,1
2606,3623,174,7/21/2008 0:00,100,,,Heritage Partners,2008 Heritage Partne,0,0,1
2607,3624,174,1/27/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2608,3625,174,2/20/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2609,3626,174,3/23/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2610,3627,174,4/20/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2611,3628,174,7/20/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2612,3629,174,8/24/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2613,3630,174,11/24/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2614,3631,174,12/3/2009 0:00,100,,,Individuals,2009 Annual Campaign,0,0,1
2615,3632,174,3/2/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2616,3633,174,3/22/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2617,3634,174,4/20/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2618,3635,174,5/18/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2619,3636,174,6/30/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2620,3637,174,7/19/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2621,3638,174,8/17/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2622,3639,174,9/21/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2623,3640,174,10/18/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2624,3641,174,11/15/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2625,3642,174,12/14/2010 0:00,100,,,Individuals,2010 Annual Campaign,0,0,1
2626,3643,174,1/18/2011 0:00,100,,,Individuals,2011 Annual Campaign,0,0,1
2627,3644,174,2/15/2011 0:00,100,,,Individuals,2011 Annual Campaign,0,0,1
2628,3645,174,6/19/2013 0:00,100,,,Heritage Partners,2013 Heritage Partne,0,0,1
2629,3646,174,12/9/2008 0:00,200,,,Friendraiser Banquet,2008 Friendraiser Ba,0,1,1
2630,3647,174,6/12/2009 0:00,200,,,Individuals,2009 Annual Campaign,0,1,1
2631,3648,174,10/6/2009 0:00,200,,,Individuals,2009 Annual Campaign,0,1,1
2632,3649,174,2/19/2010 0:00,200,,,Individuals,2010 Annual Campaign,0,1,1
2633,3650,174,3/21/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2634,3651,174,4/18/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2635,3652,174,5/23/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2636,3653,174,6/20/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2637,3654,174,7/18/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2638,3655,174,8/18/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2639,3656,174,9/26/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2640,3657,174,11/1/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2641,3658,174,12/1/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2642,3659,174,12/31/2011 0:00,200,,,Individuals,2011 Annual Campaign,0,1,1
2643,3660,174,1/31/2012 0:00,200,,,Heritage Partners,2012 Heritage Partne,0,1,1
2644,3661,174,3/8/2012 0:00,200,,,Heritage Partners,2012 Heritage Partne,0,1,1
2645,3662,174,4/9/2012 0:00,200,,,Heritage Partners,2012 Heritage Partne,0,1,1
2646,3663,174,5/23/2012 0:00,200,,,Heritage Partners,2012 Heritage Partne,0,1,1
2647,3664,174,6/22/2015 0:00,500,,,Heritage Partners,2015 Heritage Partne,0,1,1
2648,3665,174,11/26/2012 0:00,1000,,,Special Kids Race,2013 Special Kids Ra,0,1,1
2649,3666,175,5/21/2007 0:00,450,,,Heritage Partners,2007 Heritage Partne,0,1,1
2650,3667,175,5/8/2008 0:00,500,,,Golf Classic,2008 Golf Classic,0,1,1
2651,3668,175,5/6/2008 0:00,1000,,,Heritage Partners,2008 Heritage Partne,0,1,1
2652,3669,177,8/3/2010 0:00,500,,,Grants,2010 Grants,0,1,1
2653,3670,177,8/29/2007 0:00,750,,,Friendraiser Banquet,2008 Friendraiser Ba,0,1,1
2654,3671,177,8/18/2014 0:00,800,,,Friendraiser Banquet,2014 Friendraiser Ba,0,1,1
2655,3672,177,8/26/2009 0:00,1250,,,Friendraiser Banquet,2009 Friendraiser Ba,0,1,1
2656,3673,177,8/3/2010 0:00,1250,,,Friendraiser Banquet,2010 Friendraiser Ba,0,1,1
2657,3674,177,6/3/2011 0:00,1250,,,Friendraiser Banquet,2011 Friendraiser Ba,0,1,1
2658,3675,177,6/6/2012 0:00,1500,,,Friendraiser Banquet,2012 Friendraiser Ba,0,1,1
2659,3676,177,9/17/2013 0:00,1500,,,Friendraiser Banquet,2013 Friendraiser Ba,0,1,1
2660,3677,178,10/7/2008 0:00,200,,,Outside Events,2008 Outside Events,0,1,0
2661,3678,180,5/1/2012 0:00,62.5,,,Golf Classic,2012 Golf Classic,0,0,1
2662,3679,181,7/9/2008 0:00,20,,,Outside Events,2008 Outside Events,0,0,1
2663,3680,181,7/2/2008 0:00,150,,,Individuals,2008 Annual Campaign,0,1,1
2664,3681,181,6/24/2011 0:00,300,,,Friendraiser Banquet,2011 Friendraiser Ba,0,1,1
2665,3682,181,7/29/2010 0:00,750,,,Friendraiser Banquet,2010 Friendraiser Ba,0,1,1
2666,3683,181,6/20/2012 0:00,800,,,Friendraiser Banquet,2012 Friendraiser Ba,0,1,1
2667,3684,181,3/7/2011 0:00,1000,,,Golf Classic,2011 Golf Classic,0,1,1
2668,3685,181,5/7/2009 0:00,1250,,,Heritage Partners,2009 Heritage Partne,0,1,1
2669,3686,181,6/8/2009 0:00,1250,,,Heritage Partners,2009 Heritage Partne,0,1,1
2670,3687,181,2/4/2010 0:00,1250,,,Heritage Partners,2010 Heritage Partne,0,1,1
2671,3688,181,7/29/2010 0:00,1250,,,Heritage Partners,2010 Heritage Partne,0,1,1
2672,3689,181,8/23/2011 0:00,1250,,,Heritage Partners,2011 Heritage Partne,0,1,1
2673,3690,181,12/7/2011 0:00,1250,,,Heritage Partners,2011 Heritage Partne,0,1,1
2674,3691,181,3/5/2012 0:00,1500,,,Golf Classic,2012 Golf Classic,0,1,1
2675,3692,181,4/16/2013 0:00,1500,,,Golf Classic,2013 Golf Classic,0,1,1
2676,3693,181,7/17/2013 0:00,1500,,,Friendraiser Banquet,2013 Friendraiser Ba,0,1,1
2677,3694,181,2/19/2014 0:00,1500,,,Golf Classic,2014 Golf Classic,0,1,1
2678,3695,181,6/18/2014 0:00,1500,,,Friendraiser Banquet,2014 Friendraiser Ba,0,1,1
2679,3696,181,2/27/2015 0:00,1500,,,Golf Classic,2015 Golf Classic,0,1,1
2680,3697,181,7/6/2015 0:00,1500,,,Friendraiser Banquet,2015 Friendraiser Ba,0,1,1
2681,3698,181,3/30/2016 0:00,2500,,,Golf Classic,2016 Golf Classic,0,1,1
2682,3699,181,8/4/2016 0:00,2500,,,Concert,2016 Concert,0,1,1
2683,3700,182,8/24/2007 0:00,200,,,Friendraiser Banquet,2007 Friendraiser Ba,0,1,1
2684,3701,182,7/17/2008 0:00,200,,,Friendraiser Banquet,2008 Friendraiser Ba,0,1,1
2685,3702,182,7/19/2010 0:00,200,,,Friendraiser Banquet,2010 Friendraiser Ba,0,1,1
2686,3703,182,8/29/2007 0:00,500,,,Friendraiser Banquet,2007 Friendraiser Ba,0,1,1
2687,3704,182,8/13/2008 0:00,500,,,Friendraiser Banquet,2008 Friendraiser Ba,0,1,1
2688,3705,183,5/2/2014 0:00,500,,,Golf Classic,2014 Golf Classic,0,1,1
2689,3706,183,8/12/2016 0:00,1500,,,Concert,2016 Concert,0,1,1
2690,3707,193,8/19/2009 0:00,5,,,Friendraiser Banquet,2009 Friendraiser Ba,1,0,1
2691,3708,193,9/1/2016 0:00,12,,,Merchandise,2016 Merchandise,1,0,1
2692,3709,193,2/14/2011 0:00,20,,,Individuals,2011 Annual Campaign,1,0,1
2693,3710,193,12/12/2011 0:00,22.49,,,Individuals,2011 Annual Campaign,1,0,1
2694,3711,193,5/7/2010 0:00,30,,,Golf Classic,2010 Golf Classic,1,0,1
2695,3712,193,5/17/2011 0:00,30,,,Individuals,2011 Annual Campaign,1,0,1
2696,3713,193,7/1/2011 0:00,30,,,Individuals,2011 Annual Campaign,1,0,1
2697,3714,193,12/8/2011 0:00,30,,,Team ASK,2012 Special Kids Ra,1,0,1
2698,3715,193,6/6/2012 0:00,40,,,Golf Classic,2012 Golf Classic,1,0,1
2699,3716,193,5/13/2010 0:00,50,,,Macedonia,2010 Macedonia,1,0,1
2700,3717,193,10/3/2013 0:00,60,,,Friendraiser Banquet,2013 Friendraiser Ba,1,0,1
2701,3718,193,9/15/2010 0:00,75,,,Individuals,2010 Annual Campaign,1,0,1
2702,3719,193,10/15/2010 0:00,75,,,Individuals,2010 Annual Campaign,1,0,1
2703,3720,193,11/15/2010 0:00,75,,,Individuals,2010 Annual Campaign,1,0,1
2704,3721,193,12/15/2010 0:00,75,,,Individuals,2010 Annual Campaign,1,0,1
2705,3722,193,1/14/2011 0:00,75,,,Individuals,2011 Annual Campaign,1,0,1
2706,3723,193,5/15/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2707,3724,193,6/15/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2708,3725,193,7/13/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2709,3726,193,8/15/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2710,3727,193,9/14/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2711,3728,193,10/15/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2712,3729,193,11/15/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2713,3730,193,12/14/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2714,3731,193,1/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2715,3732,193,2/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2716,3733,193,3/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2717,3734,193,4/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2718,3735,193,5/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2719,3736,193,6/14/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2720,3737,193,7/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2721,3738,193,8/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2722,3739,193,9/13/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2723,3740,193,10/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2724,3741,193,11/15/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2725,3742,193,12/13/2013 0:00,100,,,Individuals,2013 Annual Campaign,1,0,1
2726,3743,193,1/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2727,3744,193,2/14/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2728,3745,193,3/14/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2729,3746,193,4/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2730,3747,193,5/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2731,3748,193,6/11/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2732,3749,193,7/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2733,3750,193,8/13/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2734,3751,193,9/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2735,3752,193,10/22/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2736,3753,193,11/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2737,3754,193,12/15/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2738,3755,193,1/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2739,3756,193,2/13/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2740,3757,193,3/13/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2741,3758,193,4/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2742,3759,193,5/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2743,3760,193,6/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2744,3761,193,7/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2745,3762,193,8/14/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2746,3763,193,9/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2747,3764,193,10/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2748,3765,193,11/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2749,3766,193,12/15/2015 0:00,100,,,Individuals,2015 Annual Campaign,1,0,1
2750,3767,193,1/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2751,3768,193,2/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2752,3769,193,3/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2753,3770,193,4/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2754,3771,193,5/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2755,3772,193,6/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2756,3773,193,7/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2757,3774,193,8/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2758,3775,193,9/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2759,3776,193,10/15/2016 0:00,100,,,Individuals,2016 Annual Campaign,1,0,1
2760,3777,193,10/13/2010 0:00,150,,,Acts 1:8,2010 China Missions,1,1,1
2761,3778,193,12/31/2014 0:00,150,,,Individuals,2014 Annual Campaign,1,1,1
2762,3779,193,11/17/2009 0:00,250,,,Individuals,2010 Annual Campaign,1,1,1
2763,3780,193,4/8/2016 0:00,310,,,Individuals,2016 Annual Campaign,1,1,1
2764,3781,193,7/1/2011 0:00,320,,,Friendraiser Banquet,2011 Friendraiser Ba,1,1,1
2765,3782,194,11/20/2015 0:00,50,,,Individuals,2015 Annual Campaign,0,0,1
2766,3783,194,11/8/2015 0:00,100,,,Individuals,2015 Annual Campaign,0,0,1
2767,3784,194,8/18/2008 0:00,227,,,Individuals,2008 Annual Campaign,0,1,1
2768,3785,196,9/12/2007 0:00,200,,,Friendraiser Banquet,2007 Friendraiser Ba,1,1,1
2769,3786,196,8/19/2008 0:00,400,,,Friendraiser Banquet,2008 Friendraiser Ba,1,1,1
2770,3787,196,12/2/2010 0:00,400,,,Individuals,2010 Annual Campaign,1,1,1
2771,3788,196,4/13/2009 0:00,420,,,Individuals,2009 Annual Campaign,1,1,1
2772,3789,196,5/11/2009 0:00,1000,,,Individuals,2009 Annual Campaign,1,1,1
2773,3790,196,7/13/2009 0:00,1250,,,Friendraiser Banquet,2009 Friendraiser Ba,1,1,1
2774,3791,198,8/14/2008 0:00,85,,,Friendraiser Banquet,2008 Friendraiser Ba,0,0,1
2775,3792,200,5/21/2007 0:00,50,,,Golf Classic,2007 Golf Classic,0,0,0
2776,3793,201,3/17/2011 0:00,250,,,Individuals,2011 Annual Campaign,1,1,1
2777,3794,201,12/27/2011 0:00,1000,,,Individuals,2011 Annual Campaign,1,1,1
2778,3795,202,12/22/2008 0:00,4000,,,Individuals,2008 Major Investors,1,1,0
2779,3796,204,4/16/2007 0:00,60,,,Outside Events,2007 Outside Events,0,0,0
2780,3797,205,7/2/2007 0:00,20,,,Outside Events,2007 Outside Events,0,0,0
2781,3798,207,6/22/2008 0:00,100,,,Individuals,2008 Annual Campaign,1,0,0
2782,3799,208,12/3/2008 0:00,50,,,Individuals,2008 Annual Campaign,1,0,1
2783,3800,208,3/13/2007 0:00,100,,,Individuals,2007 Annual Campaign,1,0,1
2784,3801,208,12/13/2007 0:00,100,,,Individuals,2007 Annual Campaign,1,0,1
2785,3802,208,8/5/2008 0:00,100,,,Individuals,2008 Annual Campaign,1,0,1
2786,3803,208,4/8/2009 0:00,100,,,Individuals,2009 Annual Campaign,1,0,1
2787,3804,208,12/3/2009 0:00,100,,,Individuals,2009 Annual Campaign,1,0,1
2788,3805,208,12/29/2010 0:00,100,,,Individuals,2010 Annual Campaign,1,0,1
2789,3806,208,8/10/2011 0:00,100,,,Individuals,2011 Annual Campaign,1,0,1
2790,3807,208,9/11/2012 0:00,100,,,Individuals,2012 Annual Campaign,1,0,1
2791,3808,208,5/28/2014 0:00,100,,,Individuals,2014 Annual Campaign,1,0,1
2792,3809,209,3/21/2011 0:00,120,,,Individuals,2011 Annual Campaign,0,1,1
2793,3810,209,5/13/2011 0:00,200,,,Friendraiser Banquet,2011 Friendraiser Ba,0,1,1
2794,3811,209,8/20/2007 0:00,1500,,,Individuals,2007 Major Investors,0,1,1
2795,3812,210,3/9/2006 0:00,100,,,Individuals,2006 Annual Campaign,0,0,0
2796,3813,211,12/15/2008 0:00,1000,,,Individuals,2008 Annual Campaign,0,1,1
2797,3814,211,12/15/2010 0:00,1000,,,Individuals,2010 Annual Campaign,0,1,1
2798,3815,211,12/12/2011 0:00,1000,,,Individuals,2011 Annual Campaign,0,1,1
2799,3816,211,12/12/2011 0:00,1000,,,Individuals,2011 Annual Campaign,0,1,1
2800,3817,211,11/28/2012 0:00,1000,,,Individuals,2012 Annual Campaign,0,1,1
2801,3818,211,12/10/2013 0:00,1000,,,Individuals,2013 Annual Campaign,0,1,1
2802,3819,211,12/15/2014 0:00,1000,,,Individuals,2014 Annual Campaign,0,1,1
2803,3820,211,12/31/2015 0:00,1000,,,Individuals,2015 Annual Campaign,0,1,1
2804,3821,212,12/17/2008 0:00,200,,,Individuals,2008 Annual Campaign,1,1,1
2805,3822,212,12/23/2009 0:00,300,,,Individuals,2009 Annual Campaign,1,1,1
2806,3823,213,12/17/2012 0:00,200,,,Individuals,2012 Annual Campaign,1,1,1
2807,3824,214,12/29/2009 0:00,500,,,Individuals,2009 Annual Campaign,0,1,1
2808,3825,214,12/22/2011 0:00,500,,,Individuals,2011 Annual Campaign,0,1,1
2809,3826,214,12/23/2008 0:00,580,,,Individuals,2008 Annual Campaign,0,1,1
2810,3827,214,12/18/2012 0:00,1000,,,Individuals,2012 Annual Campaign,0,1,1
2811,3828,214,12/27/2013 0:00,1000,,,Individuals,2013 Annual Campaign,0,1,1
2812,3829,214,12/29/2014 0:00,1000,,,Individuals,2014 Annual Campaign,0,1,1
2813,3830,214,12/21/2015 0:00,1000,,,Individuals,2015 Annual Campaign,0,1,1
2814,3831,215,4/23/2009 0:00,15,,,Individuals,2009 Annual Campaign,1,0,0
2815,3832,216,5/10/2010 0:00,10,,,Golf Classic,2010 Golf Classic,1,0,1
2816,3833,216,5/8/2008 0:00,100,,,Golf Classic,2008 Golf Classic,1,0,1
2817,3834,216,5/4/2009 0:00,100,,,Golf Classic,2009 Golf Classic,1,0,1
2818,3835,216,5/10/2010 0:00,125,,,Golf Classic,2010 Golf Classic,1,1,1
2819,3836,216,5/10/2011 0:00,125,,,Golf Classic,2011 Golf Classic,1,1,1
2820,3837,216,4/24/2012 0:00,125,,,Golf Classic,2012 Golf Classic,1,1,1
2821,3838,216,4/23/2013 0:00,125,,,Golf Classic,2013 Golf Classic,1,1,1
2822,3839,216,3/14/2014 0:00,125,,,Golf Classic,2014 Golf Classic,1,1,1
2823,3840,216,3/12/2015 0:00,150,,,Golf Classic,2015 Golf Classic,1,1,1
2824,3841,217,1/30/2007 0:00,50,,,Individuals,2007 Annual Campaign,0,0,0
2825,3842,218,7/27/2007 0:00,10,,,Outside Events,2007 Outside Events,0,0,0
2826,3843,219,12/3/2009 0:00,20,,,Individuals,2009 Annual Campaign,1,0,1
2827,3844,219,11/29/2010 0:00,20,,,Individuals,2010 Annual Campaign,1,0,1
2828,3845,219,11/28/2011 0:00,20,,,Individuals,2011 Annual Campaign,1,0,1
2829,3846,219,11/18/2013 0:00,20,,,Individuals,2013 Annual Campaign,1,0,1
2830,3847,219,11/14/2007 0:00,30,,,Individuals,2007 Annual Campaign,1,0,1
2831,3848,219,11/13/2008 0:00,30,,,Individuals,2008 Annual Campaign,1,0,1
2832,3849,219,12/3/2012 0:00,30,,,Individuals,2012 Annual Campaign,1,0,1
2833,3850,219,11/16/2015 0:00,30,,,Individuals,2015 Annual Campaign,1,0,1
2834,3851,220,5/15/2006 0:00,100,,,Golf Classic,2006 Golf Classic,0,0,1
2835,3852,220,5/30/2007 0:00,100,,,Golf Classic,2007 Golf Classic,0,0,1
2836,3853,221,3/7/2006 0:00,50,,,Friendraiser Banquet,2006 Friendraiser Ba,0,0,1
2837,3854,221,3/16/2007 0:00,50,,,Individuals,2007 Annual Campaign,0,0,1
2838,3855,221,3/24/2009 0:00,75,,,Individuals,2009 Annual Campaign,0,0,1
2839,3856,222,5/8/2008 0:00,400,,,Golf Classic,2008 Golf Classic,0,1,0
2840,3857,223,9/22/2008 0:00,35,,,Individuals,2008 Annual Campaign,0,0,0
2841,3858,224,12/4/2007 0:00,20,,,Individuals,2007 Annual Campaign,0,0,0
2842,3859,225,11/5/2008 0:00,75,,,Individuals,2008 Annual Campaign,0,0,0
2843,3860,226,5/14/2007 0:00,25,,,Golf Classic,2007 Golf Classic,0,0,1
2844,3861,226,3/21/2010 0:00,25,,,Outside Events,2010 Outside Events,0,0,1
2845,3862,226,10/20/2009 0:00,30,,,Outside Events,2009 Outside Events,0,0,1
2846,3863,226,5/18/2006 0:00,100,,,Golf Classic,2006 Golf Classic,0,0,1
2847,3864,226,12/11/2007 0:00,270,,,Outside Events,2007 Outside Events,0,1,1
2848,3865,227,11/16/2012 0:00,15,,,Special Kids Race,2013 Special Kids Ra,1,0,1
2849,3866,227,3/8/2013 0:00,30,,,Special Kids Race,2013 Special Kids Ra,1,0,1
2850,3867,227,12/16/2008 0:00,50,,,Individuals,2008 Annual Campaign,1,0,1
2851,3868,227,3/24/2015 0:00,120.9,,,Special Kids Race,2015 Special Kids Ra,1,1,1
2852,3869,227,5/10/2012 0:00,125,,,Golf Classic,2012 Golf Classic,1,1,1
2853,3870,227,5/9/2013 0:00,125,,,Golf Classic,2013 Golf Classic,1,1,1
2854,3871,227,5/8/2014 0:00,125,,,Golf Classic,2014 Golf Classic,1,1,1
2855,3872,227,2/4/2013 0:00,250,,,Special Kids Race,2013 Special Kids Ra,1,1,1
2856,3873,228,10/1/2007 0:00,50,,,Individuals,2007 Annual Campaign,0,0,1
2857,3874,229,7/8/2002 0:00,20,,,Individuals,2002 Annual Campaign,0,0,1
2858,3875,229,8/6/2002 0:00,20,,,Individuals,2002 Annual Campaign,0,0,1
2859,3876,229,9/4/2002 0:00,20,,,Individuals,2002 Annual Campaign,0,0,1
2860,3877,229,10/9/2002 0:00,20,,,Individuals,2002 Annual Campaign,0,0,1
2861,3878,229,11/13/2002 0:00,20,,,Individuals,2002 Annual Campaign,0,0,1
2862,3879,229,12/9/2002 0:00,20,,,Individuals,2002 Annual Campaign,0,0,1
2863,3880,229,2/19/2003 0:00,20,,,Individuals,2003 Annual Campaign,0,0,1
2864,3881,229,3/11/2003 0:00,20,,,Individuals,2003 Annual Campaign,0,0,1
2865,3882,229,9/10/2003 0:00,20,,,Individuals,2003 Annual Campaign,0,0,1
2866,3883,229,10/15/2003 0:00,20,,,Friendraiser Banquet,2003 Friendraiser Ba,0,0,1
2867,3884,229,11/5/2003 0:00,20,,,Individuals,2003 Annual Campaign,0,0,1
2868,3885,229,12/3/2003 0:00,20,,,Individuals,2003 Annual Campaign,0,0,1
2869,3886,229,3/5/2004 0:00,20,,,Friendraiser Banquet,2004 Friendraiser Ba,0,0,1
2870,3887,229,4/6/2004 0:00,20,,,Friendraiser Banquet,2004 Friendraiser Ba,0,0,1
2871,3888,229,5/10/2004 0:00,20,,,Friendraiser Banquet,2004 Friendraiser Ba,0,0,1
2872,3889,229,6/14/2004 0:00,20,,,Friendraiser Banquet,2004 Friendraiser Ba,0,0,1
2873,3890,229,7/14/2004 0:00,20,,,Friendraiser Banquet,2004 Friendraiser Ba,0,0,1
2874,3891,229,8/4/2004 0:00,20,,,Individuals,2004 Annual Campaign,0,0,1
2875,3892,229,12/9/2004 0:00,20,,,Friendraiser Banquet,2004 Friendraiser Ba,0,0,1
2876,3893,229,1/13/2005 0:00,20,,,Friendraiser Banquet,2005 Friendraiser Ba,0,0,1
2877,3894,229,1/13/2005 0:00,20,,,Individuals,2005 Annual Campaign,0,0,1
2878,3895,229,2/8/2005 0:00,20,,,Friendraiser Banquet,2005 Friendraiser Ba,0,0,1
2879,3896,229,3/14/2005 0:00,20,,,Friendraiser Banquet,2005 Friendraiser Ba,0,0,1
2880,3897,229,7/13/2005 0:00,20,,,Individuals,2005 Annual Campaign,0,0,1
2881,3898,229,11/16/2005 0:00,20,,,Individuals,2005 Annual Campaign,0,0,1
2882,3899,229,2/14/2006 0:00,20,,,Individuals,2006 Annual Campaign,0,0,1
2883,3900,229,3/7/2006 0:00,20,,,Individuals,2006 Annual Campaign,0,0,1
2884,3901,229,1/15/2008 0:00,20,,,Individuals,2008 Annual Campaign,0,0,1
2885,3902,229,10/15/2009 0:00,20,,,Individuals,2009 Annual Campaign,0,0,1
2886,3903,229,11/19/2009 0:00,20,,,Individuals,2009 Annual Campaign,0,0,1
2887,3904,229,12/15/2009 0:00,20,,,Individuals,2009 Annual Campaign,0,0,1
2888,3905,229,1/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2889,3906,229,2/12/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2890,3907,229,3/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2891,3908,229,4/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2892,3909,229,5/14/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2893,3910,229,6/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2894,3911,229,7/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2895,3912,229,8/13/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2896,3913,229,9/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2897,3914,229,10/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2898,3915,229,11/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2899,3916,229,12/15/2010 0:00,20,,,Individuals,2010 Annual Campaign,0,0,1
2900,3917,229,1/14/2011 0:00,20,,,Individuals,2011 Annual Campaign,0,0,1
2901,3918,229,2/15/2011 0:00,20,,,Individuals,2011 Annual Campaign,0,0,1
2902,3919,229,3/15/2011 0:00,20,,,Individuals,2011 Annual Campaign,0,0,1
2903,3920,229,4/15/2011 0:00,20,,,Individuals,2011 Annual Campaign,0,0,1
