,Donation ID,Constituent Number,Received Date,Donation Amount,Thank You Letter ID,Thank You Letter,Fund Name,Campaign Name,Co-Donor Exists,DonationSize_onehundred,Recurring Donor
77,1077,193,8/4/2016 0:00,107.09,,,In Kind,2016 In Kind,1,1,1
78,1078,231,9/5/2013 0:00,85,,,In Kind,2013 Friendraiser Ba,1,0,1
80,1080,231,12/30/2015 0:00,200,,,Macedonia,2015 Cornelius Chris,1,1,1
81,1081,307,12/31/2014 0:00,400,,,Macedonia,2014 Cornelius Chris,0,1,0
82,1082,360,10/24/2014 0:00,400,,,Capital Campaign,2014 In Kind,1,1,1
83,1083,360,12/2/2015 0:00,1242.85,,,In Kind,2015 In-Kind,1,1,1
84,1084,361,3/1/2011 0:00,50,,,In Kind,2011 In-Kind,1,0,1
85,1085,361,9/16/2014 0:00,30,,,In Kind,2014 In Kind,1,0,1
86,1086,417,1/14/2013 0:00,150,,,In Kind,2013 In Kind,1,1,1
87,1087,417,1/29/2013 0:00,500,,,In Kind,2013 In Kind,1,1,1
88,1088,417,8/30/2013 0:00,100,,,In Kind,2013 In Kind,1,0,1
89,1089,441,8/30/2013 0:00,100,,,In Kind,2013 In Kind,0,0,1
90,1090,491,10/19/2009 0:00,30,,,Friendraiser Banquet,2009 Friendraiser Ba,1,0,1
91,1091,493,2/18/2016 0:00,10975,,,In Kind,2016 In Kind,1,1,1
92,1092,533,9/5/2013 0:00,350,,,In Kind,2013 Friendraiser Ba,1,1,1
93,1093,534,9/24/2015 0:00,220,,,In Kind,2015 In-Kind,1,1,1
94,1094,534,8/31/2012 0:00,170,,,In Kind,2012 Friendraiser Ba,1,1,1
95,1095,534,9/4/2014 0:00,60,,,Friendraiser Banquet,2014 In Kind,1,0,1
96,1096,534,9/4/2014 0:00,220,,,Friendraiser Banquet,2014 In Kind,1,1,1
97,1097,590,5/10/2012 0:00,50,,,In Kind,2012 Golf Classic,0,0,1
98,1098,623,12/31/2014 0:00,400,,,Macedonia,2014 Cornelius Chris,1,1,1
100,1100,656,12/31/2014 0:00,100,,,Macedonia,2014 Annual Campaign,1,0,1
101,1101,677,12/31/2015 0:00,300,,,Macedonia,2015 Macedonia,1,1,1
102,1102,698,11/17/2011 0:00,47.98,,,In Kind,2011 In-Kind,1,0,1
103,1103,698,1/12/2012 0:00,55,,,In Kind,2012 In Kind,1,0,1
104,1104,698,11/25/2014 0:00,92.44,,,In Kind,2014 In Kind,1,0,1
105,1105,703,7/15/2014 0:00,50,,,In Kind,2014 In Kind,1,0,1
106,1106,742,1/19/2007 0:00,30,,,In Kind,2007 In Kind,1,0,0
107,1107,752,1/12/2016 0:00,100,,,Macedonia,2015 Macedonia,1,0,1
108,1108,759,9/4/2014 0:00,245.72,,,Friendraiser Banquet,2014 In Kind,0,1,1
109,1109,811,12/15/2011 0:00,37.99,,,In Kind,2011 In-Kind,1,0,1
111,1111,930,12/31/2013 0:00,500,,,In Kind,2013 Cornelius Chris,1,1,1
112,1112,930,12/31/2014 0:00,300,,,Macedonia,2014 Cornelius Chris,1,1,1
113,1113,951,12/29/2015 0:00,500,,,Macedonia,2015 Cornelius Chris,1,1,1
114,1114,986,2/29/2012 0:00,150,,,In Kind,2012 In Kind,0,1,1
115,1115,986,12/5/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
116,1116,986,12/10/2012 0:00,20,,,In Kind,2012 In Kind,0,0,1
117,1117,986,12/18/2012 0:00,40,,,In Kind,2012 In Kind,0,0,1
118,1118,986,12/18/2012 0:00,75,,,In Kind,2012 In Kind,0,0,1
119,1119,986,12/19/2012 0:00,55,,,Individuals,2012 Annual Campaign,0,0,1
120,1120,986,12/19/2012 0:00,30,,,In Kind,2012 In Kind,0,0,1
121,1121,986,2/6/2013 0:00,74.89,,,In Kind,2013 In Kind,0,0,1
122,1122,986,2/18/2013 0:00,25,,,In Kind,2013 In Kind,0,0,1
123,1123,986,5/15/2013 0:00,1935.18,,,In Kind,2013 In Kind,0,1,1
124,1124,986,7/31/2013 0:00,280,,,In Kind,2013 In Kind,0,1,1
125,1125,986,8/28/2013 0:00,81.16,,,In Kind,2013 In Kind,0,0,1
126,1126,986,8/30/2013 0:00,33.97,,,In Kind,2013 In Kind,0,0,1
127,1127,986,9/18/2013 0:00,17.99,,,In Kind,2013 In Kind,0,0,1
128,1128,986,9/30/2013 0:00,85,,,In Kind,2013 In Kind,0,0,1
129,1129,986,10/4/2013 0:00,125,,,In Kind,2013 In Kind,0,1,1
130,1130,986,1/30/2014 0:00,39.99,,,In Kind,2014 In Kind,0,0,1
131,1131,986,3/13/2014 0:00,5,,,In Kind,2014 In Kind,0,0,1
132,1132,986,3/26/2014 0:00,5,,,In Kind,2014 In Kind,0,0,1
133,1133,986,6/27/2014 0:00,10,,,In Kind,2014 In Kind,0,0,1
134,1134,986,7/8/2014 0:00,200,,,In Kind,2014 In Kind,0,1,1
135,1135,986,7/25/2014 0:00,39.59,,,In Kind,2014 In Kind,0,0,1
136,1136,986,8/4/2014 0:00,200,,,In Kind,2014 In Kind,0,1,1
137,1137,986,9/3/2014 0:00,84.21,,,In Kind,2014 In Kind,0,0,1
138,1138,986,5/11/2015 0:00,136.25,,,In Kind,2015 In-Kind,0,1,1
139,1139,986,11/18/2015 0:00,150,,,In Kind,2015 In-Kind,0,1,1
140,1140,986,6/23/2016 0:00,500,,,In Kind,2016 In Kind,0,1,1
141,1141,986,6/29/2016 0:00,300,,,In Kind,2016 In Kind,0,1,1
142,1142,986,7/7/2016 0:00,110,,,In Kind,2016 In Kind,0,1,1
143,1143,986,7/13/2016 0:00,31,,,In Kind,2016 In Kind,0,0,1
144,1144,986,7/14/2016 0:00,13,,,In Kind,2016 In Kind,0,0,1
145,1145,986,8/18/2016 0:00,500,,,In Kind,2016 In Kind,0,1,1
146,1146,986,8/29/2016 0:00,114,,,In Kind,2016 In Kind,0,1,1
147,1147,986,9/2/2016 0:00,300,,,In Kind,2016 In Kind,0,1,1
148,1148,986,9/26/2016 0:00,150,,,In Kind,2016 In Kind,0,1,1
149,1149,986,10/11/2016 0:00,64,,,In Kind,2016 In Kind,0,0,1
150,1150,1009,12/31/2011 0:00,500,,,In Kind,2011 In-Kind,0,1,1
152,1152,1009,5/8/2014 0:00,50,,,In Kind,2014 Golf Classic,0,0,1
153,1153,1009,12/31/2014 0:00,600,,,Macedonia,2014 Cornelius Chris,0,1,1
154,1154,1009,5/7/2015 0:00,250,,,In Kind,2015 Golf Classic,0,1,1
155,1155,1009,12/30/2015 0:00,500,,,Macedonia,2015 Cornelius Chris,0,1,1
156,1156,1018,3/31/2012 0:00,300,,,In Kind,2012 Special Kids Ra,0,1,1
157,1157,1018,3/22/2014 0:00,100,,,In Kind,2014 Special Kids Ra,0,0,1
158,1158,1018,3/21/2015 0:00,1500,,,In Kind,2015 Special Kids Ra,0,1,1
159,1159,1018,3/19/2016 0:00,1500,,,In Kind,2016 In Kind,0,1,1
